================================================================================
  华中杯 A 题 - 城市绿色物流配送调度 - ALNS迭代日志
================================================================================
生成时间: 2026-04-25 00:57:46
停止轮次: 600
是否收敛: False
严格车队约束: True
================================================================================

【迭代历史】
--------------------------------------------------------------------------------
      迭代 |         最佳成本 |         当前成本 |    车辆数 |       温度 |       破坏算子
--------------------------------------------------------------------------------
       1 |    111872.47 |    111872.47 |    156 |   500.00 |     random
       2 |    107108.33 |    107108.33 |    150 |   496.50 |     random
       3 |    103897.14 |    103897.14 |    146 |   493.02 |     random
       4 |    102623.11 |    102623.11 |    146 |   489.57 |      worst
       5 |    102202.61 |    102202.61 |    146 |   486.15 |     random
       6 |    102202.61 |    102202.61 |    146 |   482.74 |     random
       7 |    101944.26 |    101944.26 |    146 |   479.36 |      worst
       8 |    100977.49 |    100977.49 |    146 |   476.01 |     random
       9 |    100657.53 |    100657.53 |    147 |   472.68 |     random
      10 |    100657.53 |    100657.53 |    147 |   469.37 |      worst
      11 |    100657.53 |    100835.61 |    148 |   466.08 |     random
      12 |    100657.53 |    100835.61 |    148 |   462.82 |     random
      13 |     99346.75 |     99346.75 |    147 |   459.58 |     random
      14 |     99346.75 |     99361.19 |    147 |   456.36 |     random
      15 |     98959.38 |     98959.38 |    146 |   453.17 |      worst
      16 |     97603.25 |     97603.25 |    145 |   450.00 |      worst
      17 |     97603.25 |     97603.25 |    145 |   446.85 |      worst
      18 |     97603.25 |     97603.25 |    145 |   443.72 |     random
      19 |     97397.70 |     97397.70 |    144 |   440.61 |     random
      20 |     97196.18 |     97196.18 |    144 |   437.53 |     random
      21 |     96080.46 |     96080.46 |    145 |   434.47 |     random
      22 |     96080.46 |     96080.46 |    145 |   431.42 |     random
      23 |     96080.46 |     96286.18 |    145 |   428.40 |    related
      24 |     96080.46 |     97094.41 |    145 |   425.41 |     random
      25 |     96080.46 |     97094.41 |    145 |   422.43 |     random
      26 |     96080.46 |     96673.45 |    144 |   419.47 |      worst
      27 |     96080.46 |     96240.33 |    143 |   416.53 |     random
      28 |     96080.46 |     96240.33 |    143 |   413.62 |     random
      29 |     96080.46 |     96146.68 |    143 |   410.72 |    related
      30 |     96080.46 |     96146.68 |    143 |   407.85 |     random
      31 |     96080.46 |     96371.32 |    144 |   404.99 |     random
      32 |     96080.46 |     97536.24 |    146 |   402.16 |     random
      33 |     96080.46 |     97536.24 |    146 |   399.34 |     random
      34 |     96080.46 |     97536.24 |    146 |   396.55 |    related
      35 |     96080.46 |     97203.23 |    145 |   393.77 |     random
      36 |     96080.46 |     97203.23 |    145 |   391.02 |     random
